	k	i	s
90	10	6	-0.528229
89	10	5	-0.581237
88	10	4	-0.59912
87	10	3	-0.521347
86	10	2	-0.24621700000000002
85	10	1	0.09895
84	9	9	0.41337399999999996
83	9	8	1.0224440000000001
82	9	7	0.806772
81	9	6	6.098616000000001
80	9	5	6.956179
79	9	4	11.651698
78	9	3	26.922704000000003
77	9	2	10.840146
76	9	1	3.670118
75	8	7	0.685964
74	8	6	-4.9831330000000005
73	8	5	2.471435
72	8	4	-0.295287
71	8	3	1.819432
70	8	2	-0.195399
69	8	1	-0.11981099999999999
68	7	9	-2.399634
67	7	8	-4.570522
66	7	7	-3.524981
65	7	6	-1.831127
64	7	5	-0.8920600000000001
63	7	4	-1.5692270000000001
62	7	3	-1.2910760000000001
61	7	2	6.959885999999999
60	7	1	5.329667
59	6	8	2.7569790000000003
58	6	7	6.260214
57	6	6	31.292366
56	6	5	15.878219
55	6	4	20.477802
54	6	3	8.770138000000001
53	6	2	6.536028
52	6	1	17.56072
51	5	14	3.421062
50	5	13	5.668986
49	5	12	4.522536
48	5	11	4.530721
47	5	10	4.656053
46	5	9	4.697764
45	5	8	4.586382
44	5	7	4.620126
43	5	6	5.611091
42	5	5	5.776565
41	5	4	5.952108
40	5	3	6.180880999999999
39	5	2	5.306104
38	5	1	5.467834
37	4	9	1.5080120000000001
36	4	8	2.969451
35	4	7	8.590658
34	4	6	19.594894
33	4	5	32.785942
32	4	4	-9.471948999999999
31	4	3	-1.5055360000000002
30	4	2	-15.17719
29	4	1	6.17694
28	3	10	-0.7022579999999999
27	3	9	23.839067
26	3	8	0.12933499999999998
25	3	7	51.774853
24	3	6	3.204366
23	3	5	4.439193
22	3	4	3.7059379999999997
21	3	3	4.616445
20	3	2	3.147507
19	3	1	1.3434700000000002
18	2	13	3.4615370000000003
17	2	12	3.343264
16	2	11	2.800424
15	2	10	3.9655699999999996
14	2	9	3.41329
13	2	8	3.886257
12	2	7	3.507537
11	2	6	4.017036
10	2	5	3.47696
9	2	4	3.557578
8	2	3	2.818279
7	2	2	0.8961540000000001
6	2	1	0.242932
5	1	6	7.086811999999999
4	1	5	4.5950370000000005
3	1	4	1.783775
2	1	3	58.656271999999994
1	1	2	53.327892
0	1	1	11.990689999999999
