	k	i	s
90	10	6	2.4974489999999996
89	10	5	3.291352
88	10	4	1.351977
87	10	3	3.5664990000000003
86	10	2	1.190622
85	10	1	0.354304
84	9	9	-0.681836
83	9	8	-1.4712290000000001
82	9	7	2.4700029999999997
81	9	6	7.405047999999999
80	9	5	6.819889
79	9	4	1.938447
78	9	3	1.258556
77	9	2	-1.185363
76	9	1	-1.4270559999999999
75	8	7	-2.80275
74	8	6	-1.618177
73	8	5	-1.519335
72	8	4	-0.623707
71	8	3	1.6627299999999998
70	8	2	1.139634
69	8	1	1.490299
68	7	9	0.865022
67	7	8	1.042724
66	7	7	1.455918
65	7	6	1.872408
64	7	5	4.695754
63	7	4	2.949255
62	7	3	6.690708
61	7	2	9.241474
60	7	1	13.954457999999999
59	6	8	20.864102
58	6	7	5.504397
57	6	6	6.832836
56	6	5	16.914368
55	6	4	12.614101
54	6	3	14.801332
53	6	2	24.790973
52	6	1	6.952502000000001
51	5	14	1.324725
50	5	13	0.9669909999999999
49	5	12	1.310028
48	5	11	2.004216
47	5	10	2.24057
46	5	9	2.9191740000000004
45	5	8	3.136201
44	5	7	3.229321
43	5	6	3.401764
42	5	5	4.069178
41	5	4	4.287276
40	5	3	8.732244
39	5	2	3.779286
38	5	1	3.9586419999999998
37	4	9	2.227497
36	4	8	3.5034080000000003
35	4	7	8.464853
34	4	6	14.674713
33	4	5	27.597139000000002
32	4	4	19.822956
31	4	3	-0.722039
30	4	2	14.166734
29	4	1	-4.541748999999999
28	3	10	-2.824407
27	3	9	2.734713
26	3	8	-1.506359
25	3	7	10.234967999999999
24	3	6	-2.72226
23	3	5	-0.339569
22	3	4	-1.9177389999999999
21	3	3	-0.621164
20	3	2	-3.214887
19	3	1	-6.738683
18	2	13	-0.659821
17	2	12	4.421138
16	2	11	1.146018
15	2	10	2.091418
14	2	9	0.829209
13	2	8	0.7978029999999999
12	2	7	1.222156
11	2	6	1.344552
10	2	5	0.423666
9	2	4	0.587385
8	2	3	1.020209
7	2	2	0.98811
6	2	1	-1.0555729999999999
5	1	6	0.666791
4	1	5	2.948692
3	1	4	10.47723
2	1	3	9.971117
1	1	2	10.257104
0	1	1	8.36737
