	k	i	s
90	10	6	-0.234727
89	10	5	-0.227075
88	10	4	-0.540673
87	10	3	-0.475998
86	10	2	-0.983166
85	10	1	-0.822166
84	9	9	0.058022000000000004
83	9	8	1.44373
82	9	7	1.2066379999999999
81	9	6	5.449752999999999
80	9	5	1.39745
79	9	4	2.151221
78	9	3	6.811628
77	9	2	4.580589
76	9	1	3.041559
75	8	7	-0.941369
74	8	6	-1.837264
73	8	5	-9.16272
72	8	4	-11.037541000000001
71	8	3	-10.154648000000002
70	8	2	-4.491871
69	8	1	-4.697151
68	7	9	-4.606806
67	7	8	-2.836322
66	7	7	-2.654941
65	7	6	-2.996842
64	7	5	-2.656755
63	7	4	-4.786695
62	7	3	-5.390562999999999
61	7	2	-2.404945
60	7	1	-4.202939
59	6	8	-5.610327999999999
58	6	7	-5.978414000000001
57	6	6	4.980834
56	6	5	12.439589
55	6	4	5.674061
54	6	3	8.639997
53	6	2	3.5892160000000004
52	6	1	3.167367
51	5	14	1.457458
50	5	13	2.43168
49	5	12	2.600612
48	5	11	3.3590720000000003
47	5	10	3.5308230000000003
46	5	9	4.619655000000001
45	5	8	4.765054
44	5	7	4.366886
43	5	6	4.410096
42	5	5	3.87935
41	5	4	3.9626069999999998
40	5	3	10.942867
39	5	2	5.6995830000000005
38	5	1	5.559278
37	4	9	1.039783
36	4	8	1.773736
35	4	7	0.5937479999999999
34	4	6	18.798334
33	4	5	18.136066
32	4	4	16.249907999999998
31	4	3	34.139853
30	4	2	11.132354
29	4	1	-2.786616
28	3	10	-4.2333870000000005
27	3	9	10.883797000000001
26	3	8	2.2025419999999998
25	3	7	8.257297
24	3	6	-2.246126
23	3	5	-1.617803
22	3	4	-2.462945
21	3	3	-2.365374
20	3	2	-1.984576
19	3	1	-6.06848
18	2	13	-2.5569290000000002
17	2	12	0.628595
16	2	11	0.729158
15	2	10	1.915003
14	2	9	0.21589299999999997
13	2	8	1.282329
12	2	7	1.190177
11	2	6	1.502484
10	2	5	1.6266450000000001
9	2	4	3.299844
8	2	3	3.124588
7	2	2	3.7135290000000003
6	2	1	3.683358
5	1	6	1.585652
4	1	5	6.695806
3	1	4	7.545422
2	1	3	15.267289000000002
1	1	2	34.598086
0	1	1	15.794038
