k	j	i	s	
10	113	6	-1.073561	
10	113	5	-0.754053	
10	112	4	-0.786766	
10	112	3	-0.325918	
10	111	2	-1.553010	
10	110	1	-1.636648	
9	110	9	0.821020	
9	110	8	-0.560762	
9	109	7	-3.814578	
9	109	6	-1.891976	
9	108	5	1.839457	
9	107	4	0.665075	
9	106	3	13.227760	
9	105	2	0.088905	
9	104	1	6.397715	
8	104	7	1.711091	
8	103	7	1.417363	
8	102	6	4.655018	
8	101	5	0.545408	
8	101	4	0.441027	
8	100	3	-1.318862	
8	99	2	-2.439534	
8	98	1	-3.161541	
7	98	9	-5.066140	
7	97	9	-3.457029	
7	96	8	-3.253600	
7	95	8	-1.774071	
7	94	7	-2.793071	
7	93	6	-3.271641	
7	92	5	-1.469645	
7	91	4	1.924113	
7	90	3	10.097798	
7	89	2	3.552594	
7	88	1	8.019551	
6	88	8	2.154674	
6	87	8	0.319283	
6	86	7	3.607695	
6	85	7	0.063293	
6	84	6	0.067440	
6	83	5	2.982828	
6	82	4	4.981363	
6	81	3	3.815531	
6	80	2	4.014776	
6	80	1	3.461586	
5	80	14	2.187906	
5	79	13	3.118373	
5	79	12	3.351549	
5	78	11	1.379677	
5	78	10	1.393867	
5	77	9	3.204997	
5	77	8	3.434946	
5	76	7	3.766156	
5	76	6	3.988958	
5	75	5	3.920470	
5	75	4	4.138347	
5	74	3	8.311915	
5	73	3	9.918074	
5	72	2	10.532683	
5	71	2	4.526669	
5	71	1	4.656079	
4	71	9	0.303484	
4	70	8	1.882761	
4	70	7	5.504886	
4	69	6	9.250002	
4	68	5	5.135610	
4	67	4	4.282806	
4	66	3	9.953351	
4	65	3	3.528512	
4	64	2	2.848933	
4	63	1	-12.338730	
3	63	10	0.431727	
3	62	9	4.944077	
3	61	9	16.297272	
3	60	8	4.461943	
3	59	7	12.455175	
3	58	6	0.399986	
3	58	5	2.540752	
3	57	4	1.351744	
3	57	3	2.288139	
3	56	2	2.708484	
3	56	1	0.845502	
2	56	13	2.550328	
2	55	12	2.251876	
2	55	11	1.736624	
2	54	10	-0.398591	
2	54	9	-0.625845	
2	53	8	0.831099	
2	53	7	1.038294	
2	52	6	0.282443	
2	52	5	0.504103	
2	51	4	1.267305	
2	51	3	1.238040	
2	50	2	1.328542	
2	50	1	1.002784	
1	50	6	-2.572534	
1	49	5	-0.314060	
1	49	4	3.290740	
1	48	3	-9.144399	
1	47	2	3.406115	
1	46	1	-14.122975	
