k	j	i	s	
10	94	6	14.875839	
10	93	6	-1.612552	
10	92	5	15.493491	
10	91	5	3.905074	
10	90	4	8.329464	
10	89	4	2.040766	
10	88	3	-0.742399	
10	87	3	1.937341	
10	86	2	0.095041	
10	85	2	-0.636057	
10	84	1	-2.613574	
9	84	9	-0.625554	
9	83	9	1.460633	
9	82	8	1.025602	
9	81	8	2.812350	
9	80	7	3.365362	
9	79	7	2.937832	
9	78	6	1.873934	
9	77	6	3.076509	
9	76	5	3.667392	
9	75	5	7.918086	
9	74	4	-2.319813	
9	73	4	2.500134	
9	72	3	3.806658	
9	71	3	8.724264	
9	70	2	-1.503740	
9	69	2	4.616132	
9	68	1	-4.856942	
8	68	7	-0.698381	
8	67	7	2.831172	
8	66	6	-1.875447	
8	65	6	0.316953	
8	64	5	-1.286563	
8	63	5	-0.925381	
8	62	4	0.383544	
8	61	4	0.742303	
8	60	3	-1.271930	
8	59	3	-1.286099	
8	58	2	-2.249846	
8	57	2	-3.522610	
8	56	1	-3.558559	
7	56	9	-4.654017	
7	55	9	-5.004041	
7	54	8	-6.000679	
7	53	7	-4.415017	
7	52	6	-1.203117	
7	51	5	0.376255	
7	50	4	-0.257021	
7	49	4	0.456687	
7	49	3	-0.746657	
7	48	2	0.616604	
7	47	2	1.059729	
7	47	1	0.257929	
6	47	8	-0.022747	
6	46	7	-0.828279	
6	46	6	-0.550689	
6	45	5	-0.038084	
6	45	4	-0.882530	
6	44	3	-1.764184	
6	44	2	-1.003535	
6	43	1	-5.282176	
5	43	14	0.587224	
5	43	13	1.284857	
5	42	12	-0.538184	
5	41	12	-0.199042	
5	40	11	1.769660	
5	39	11	2.512632	
5	38	10	1.290941	
5	37	10	0.081788	
5	36	9	-3.070788	
5	35	9	-0.888075	
5	34	8	-2.629833	
5	33	8	-2.089274	
5	32	7	-3.117643	
5	31	7	-0.258159	
5	30	6	-1.165056	
5	29	6	0.187182	
5	28	5	0.842740	
5	27	5	1.861116	
5	26	4	3.303941	
5	25	4	0.628745	
5	24	3	1.410240	
5	23	3	0.716454	
5	22	2	2.763696	
5	21	2	1.700756	
5	20	1	1.377984	
4	20	9	-3.296572	
4	20	8	-4.000287	
4	19	7	-3.772657	
4	19	6	-4.743242	
4	18	5	-0.320473	
4	17	5	-4.512740	
4	16	4	-8.331761	
4	15	3	-6.005522	
4	15	2	-7.983583	
4	14	1	-21.451273	
3	14	10	1.337432	
3	13	10	0.746860	
3	12	9	-11.947410	
3	11	9	-2.309969	
3	10	8	-4.877498	
3	9	8	-4.317323	
3	8	7	-12.096067	
3	7	7	13.660233	
3	6	6	0.425537	
3	5	5	5.510409	
3	4	5	7.459199	
3	4	1	-3.501847	
2	4	13	-0.745977	
2	4	1	-7.631383	
1	4	6	-14.106629	
1	4	1	-20.584669	
