	k	i	s
65	10	6	-0.633811
64	10	5	-1.132774
63	10	4	-0.787489
62	10	3	-0.73156
61	10	2	-1.2697399999999999
60	10	1	-1.162985
59	9	9	1.356477
58	9	8	-0.368437
57	9	7	-0.7847810000000001
56	9	6	1.228539
55	9	5	1.326255
54	9	4	1.344632
53	9	3	8.707708
52	9	2	3.8792190000000004
51	9	1	4.692405
50	8	7	2.0617919999999996
49	8	6	0.05848300000000001
48	8	5	3.6146000000000003
47	8	4	1.148892
46	8	3	-0.852136
45	8	2	-1.279454
44	8	1	-0.392298
43	7	9	-1.508934
42	7	8	-1.280346
41	7	7	0.132248
40	7	6	1.3666280000000002
39	7	5	1.788468
38	7	4	0.41503199999999996
37	7	3	-2.2016220000000004
36	7	2	-14.940403
35	7	1	-13.072306
34	6	8	-16.358989
33	6	7	-13.105631999999998
32	6	6	26.378602
31	6	5	10.357078999999999
30	6	4	16.402964
29	6	3	22.895606
28	6	2	9.887374000000001
27	6	1	3.94346
26	5	14	1.5867209999999998
25	5	13	-1.5002389999999999
24	5	12	-1.058781
23	5	11	0.288079
22	5	10	0.119619
21	5	9	0.088234
20	5	8	-0.026379000000000003
19	5	7	1.466252
18	5	6	1.519933
17	5	5	1.6384330000000003
16	5	4	1.8921310000000002
15	5	3	-0.7447600000000001
14	5	2	-0.011964
13	5	1	0.096946
12	4	9	6.493913
11	4	8	6.417987
10	4	7	-3.3201129999999996
9	4	6	-4.69753
8	4	5	-11.321368
7	4	4	-35.778083
6	4	1	-36.283062
5	3	10	-3.518567
4	3	1	-15.004682
3	2	13	-2.892799
2	2	1	-8.109639999999999
1	1	6	-6.970735
0	1	1	-32.38364
