	k	i	s
75	10	6	0.03953100000000001
74	10	5	-0.023177
73	10	4	-0.139537
72	10	3	0.336066
71	10	2	-0.331402
70	10	1	-0.472067
69	9	9	1.244635
68	9	8	0.466567
67	9	7	-3.103719
66	9	6	-2.414927
65	9	5	3.362478
64	9	4	0.6968260000000001
63	9	3	24.756572
62	9	2	16.992263
61	9	1	-5.654253
60	8	7	3.840268
59	8	6	-4.301092000000001
58	8	5	-1.9024419999999997
57	8	4	-9.473666000000001
56	8	3	-2.309809
55	8	2	-2.212253
54	8	1	-2.994539
53	7	9	-2.717582
52	7	8	-1.1439190000000001
51	7	7	-0.938315
50	7	6	-2.52082
49	7	5	-2.471329
48	7	4	-8.968302999999999
47	7	3	-19.286736
46	7	2	-11.21291
45	7	1	-7.5292259999999995
44	6	8	-3.41657
43	6	7	5.348029
42	6	6	11.462788
41	6	5	15.651489
40	6	4	4.529173
39	6	3	4.342173000000001
38	6	2	6.074244
37	6	1	4.343173999999999
36	5	14	1.528774
35	5	13	2.324857
34	5	12	2.730112
33	5	11	1.474859
32	5	10	1.303639
31	5	9	2.057511
30	5	8	2.224536
29	5	7	2.648135
28	5	6	2.8063029999999998
27	5	5	2.2839139999999998
26	5	4	2.439924
25	5	3	0.8554809999999999
24	5	2	1.176719
23	5	1	0.9524299999999999
22	4	9	-1.954366
21	4	8	-0.403634
20	4	7	-2.914198
19	4	6	-0.617202
18	4	5	2.3131340000000002
17	4	4	-1.0040959999999999
16	4	3	21.561768
15	4	2	-22.469507
14	4	1	16.875805
13	3	10	-1.177184
12	3	9	34.290675
11	3	8	-0.08088
10	3	7	4.624262
9	3	6	4.743777
8	3	5	1.618101
7	3	4	2.547679
6	3	3	4.9783599999999995
5	3	2	8.670032
4	3	1	9.34562
3	2	13	-5.7701080000000005
2	2	1	-9.241524
1	1	6	-2.761854
0	1	1	-26.47813
