	k	i	s
78	10	6	0.010537999999999999
77	10	5	-0.085029
76	10	4	0.385671
75	10	3	0.174594
74	10	2	-0.12365899999999999
73	10	1	-0.065698
72	9	9	-0.289435
71	9	8	-1.1487530000000001
70	9	7	-1.987487
69	9	6	-1.823264
68	9	5	3.347662
67	9	4	2.578702
66	9	3	21.743529000000002
65	9	2	18.081468
64	9	1	3.5926139999999998
63	8	7	8.297474000000001
62	8	6	0.670234
61	8	5	-1.171196
60	8	4	-0.953197
59	8	3	-0.84767
58	8	2	-1.408121
57	8	1	-4.704524
56	7	9	-2.586955
55	7	8	-2.811889
54	7	7	-1.824855
53	7	6	-1.542991
52	7	5	0.302056
51	7	4	-3.186038
50	7	3	-2.662658
49	7	2	-3.439078
48	7	1	-9.18085
47	6	8	-4.404669
46	6	7	-5.771814
45	6	6	-1.475814
44	6	5	1.761225
43	6	4	-2.353976
42	6	3	-4.912251
41	6	2	-0.568905
40	6	1	-0.6677
39	5	14	0.470055
38	5	13	-0.09253600000000001
37	5	12	-1.44096
36	5	11	-2.000367
35	5	10	-2.115642
34	5	9	-0.308894
33	5	8	-0.6007779999999999
32	5	7	-0.8738969999999999
31	5	6	-0.912703
30	5	5	-0.8215870000000001
29	5	4	-0.5001180000000001
28	5	3	-0.404968
27	5	2	-0.448141
26	5	1	-5.0072790000000005
25	4	9	5.670031
24	4	8	5.607557
23	4	7	-1.2610649999999999
22	4	6	4.269788
21	4	5	1.7568650000000003
20	4	4	-1.13515
19	4	3	-5.759889
18	4	2	-0.382402
17	4	1	-9.984441
16	3	10	-3.98623
15	3	9	-3.8363739999999997
14	3	8	2.011012
13	3	7	2.537274
12	3	6	4.539958
11	3	5	15.362458
10	3	4	6.076885
9	3	3	25.680235000000003
8	3	2	5.876785
7	3	1	6.458228
6	2	13	0.575324
5	2	12	-2.853803
4	2	11	-2.753447
3	2	10	-15.822076
2	2	1	-1.531483
1	1	6	-5.608759
0	1	1	-0.22201100000000001
