	k	i	s
86	10	6	-0.822897
85	10	5	-1.086725
84	10	4	-1.272484
83	10	3	-1.182916
82	10	2	0.668154
81	10	1	0.345366
80	9	9	0.697569
79	9	8	-1.407709
78	9	7	-2.24202
77	9	6	4.151232
76	9	5	3.689121
75	9	4	3.704676
74	9	3	14.819499
73	9	2	7.565892999999999
72	9	1	9.860764999999999
71	8	7	3.0429310000000003
70	8	6	2.1752740000000004
69	8	5	8.980766
68	8	4	-1.9940470000000001
67	8	3	-1.0537100000000001
66	8	2	-1.4114
65	8	1	-5.790711
64	7	9	-2.306007
63	7	8	-6.154593
62	7	7	-2.3397490000000003
61	7	6	-11.306495
60	7	5	-7.358404
59	7	4	-3.9283360000000003
58	7	3	-1.234011
57	7	2	-4.347926999999999
56	7	1	-1.372478
55	6	8	1.596665999999999
54	6	7	3.287312999999999
53	6	6	12.114600999999999
52	6	5	2.892118
51	6	4	1.482732
50	6	3	2.247572
49	6	2	0.403906
48	6	1	5.057477
47	5	14	1.9170939999999999
46	5	13	1.2853450000000002
45	5	12	3.7884269999999995
44	5	11	1.0267709999999999
43	5	10	1.777191
42	5	9	1.426822
41	5	8	3.655991
40	5	7	3.576364
39	5	6	3.3091980000000003
38	5	5	3.388669
37	5	4	3.534047
36	5	3	3.7872879999999998
35	5	2	1.5103469999999999
34	5	1	1.9424919999999999
33	4	9	2.298767
32	4	8	3.6388910000000005
31	4	7	8.517011
30	4	6	4.3604970000000005
29	4	5	4.572642
28	4	4	16.64356
27	4	3	-3.444682
26	4	2	13.417735999999998
25	4	1	-10.958992
24	3	10	0.8919809999999999
23	3	9	-9.14355
22	3	8	3.5562080000000003
21	3	7	-2.949776
20	3	6	7.1943589999999995
19	3	5	7.975439999999999
18	3	4	17.302288
17	3	3	7.8313880000000005
16	3	2	11.892213
15	3	1	1.348668
14	2	13	-2.22817
13	2	12	-1.646836
12	2	11	-1.792573
11	2	10	-3.358026
10	2	9	-3.6513370000000003
9	2	8	-4.329351
8	2	7	-4.208946
7	2	6	-5.097743
6	2	5	-4.931058999999999
5	2	4	-3.6632029999999998
4	2	3	-2.899989
3	2	2	-30.21472
2	2	1	-10.724126
1	1	6	-16.439660999999997
0	1	1	-14.607589
