	k	i	s
90	10	6	3.131305
89	10	5	4.2635819999999995
88	10	4	0.818733
87	10	3	0.22544
86	10	2	4.634732
85	10	1	0.7860659999999999
84	9	9	-0.609993
83	9	8	-1.8645880000000001
82	9	7	-0.992504
81	9	6	2.373379
80	9	5	-0.057902999999999996
79	9	4	-1.2551350000000001
78	9	3	0.12462999999999999
77	9	2	-0.778323
76	9	1	-7.080709
75	8	7	-1.596649
74	8	6	-1.413059
73	8	5	-4.014284
72	8	4	-3.004942
71	8	3	-9.601664
70	8	2	-1.316106
69	8	1	-0.686739
68	7	9	-4.2722370000000005
67	7	8	-1.134516
66	7	7	0.062023
65	7	6	-3.697568
64	7	5	-3.134614
63	7	4	0.316971
62	7	3	1.133329
61	7	2	-1.0099200000000002
60	7	1	3.5875169999999996
59	6	8	9.419489
58	6	7	6.809365
57	6	6	9.820094000000001
56	6	5	9.706656
55	6	4	6.482912000000001
54	6	3	3.5952129999999998
53	6	2	3.040859
52	6	1	1.200223
51	5	14	1.29554
50	5	13	3.3159099999999997
49	5	12	3.377265
48	5	11	3.257691
47	5	10	3.0975040000000003
46	5	9	4.011811
45	5	8	3.938957
44	5	7	3.740186
43	5	6	3.7793360000000003
42	5	5	4.960943
41	5	4	5.048369
40	5	3	2.5636080000000003
39	5	2	2.8117
38	5	1	3.9093989999999996
37	4	9	2.688095
36	4	8	3.7644589999999996
35	4	7	7.102817999999999
34	4	6	7.854705
33	4	5	21.574999000000002
32	4	4	-5.192914
31	4	3	10.900902
30	4	2	-16.403023
29	4	1	4.622993
28	3	10	-4.270893
27	3	9	33.396941999999996
26	3	8	6.748607000000001
25	3	7	43.309399
24	3	6	0.124646
23	3	5	2.181019
22	3	4	4.233564
21	3	3	5.926289
20	3	2	2.3976580000000003
19	3	1	2.958086
18	2	13	-0.40525100000000003
17	2	12	-0.43417700000000004
16	2	11	-1.236267
15	2	10	-1.789548
14	2	9	-2.1351560000000003
13	2	8	-2.500292
12	2	7	-2.529805
11	2	6	-3.588572
10	2	5	-3.391399
9	2	4	-4.149889
8	2	3	-3.240066
7	2	2	-10.438887
6	2	1	-9.874013
5	1	6	-3.844032
4	1	5	-4.179928
3	1	4	-0.006679999999999999
2	1	3	0.319033
1	1	2	-3.707696
0	1	1	-1.500485
