	k	i	s
84	10	6	0.091264
83	10	5	-0.301944
82	10	4	1.075497
81	10	3	0.955791
80	10	2	-0.697475
79	10	1	-0.998466
78	9	9	-1.178113
77	9	8	0.811029
76	9	7	0.174464
75	9	6	3.230282
74	9	5	2.654973
73	9	4	3.9701370000000002
72	9	3	6.376297
71	9	2	14.16888
70	9	1	6.512867
69	8	7	3.543625
68	8	6	0.46770200000000006
67	8	5	-0.867645
66	8	4	-11.277466
65	8	3	-9.433002
64	8	2	-3.97475
63	8	1	-7.893617
62	7	9	-6.7886169999999995
61	7	8	-2.713215
60	7	7	-2.6612310000000003
59	7	6	-2.569369
58	7	5	-1.628391
57	7	4	-2.776289
56	7	3	-2.867512
55	7	2	-8.643367000000001
54	7	1	-4.249182
53	6	8	-4.41284
52	6	7	1.585105
51	6	6	1.1618620000000002
50	6	5	-3.998498
49	6	4	-3.308267999999999
48	6	3	-0.024328
47	6	2	-3.376472
46	6	1	-0.122207
45	5	14	0.737657
44	5	13	-2.6167700000000003
43	5	12	-0.158056
42	5	11	0.462114
41	5	10	-0.93066
40	5	9	-1.284804
39	5	8	-0.43752299999999994
38	5	7	-0.666222
37	5	6	0.9012319999999999
36	5	5	0.97864
35	5	4	2.651037
34	5	3	2.775861
33	5	2	2.075226
32	5	1	2.2977830000000004
31	4	9	0.758179
30	4	8	1.7367240000000002
29	4	7	5.006578
28	4	6	16.357407000000002
27	4	5	10.721159
26	4	4	8.020661
25	4	3	-2.41302
24	4	2	-1.4798069999999999
23	4	1	-18.194151
22	3	10	-1.411663
21	3	9	1.61709
20	3	8	-2.800733
19	3	7	-3.555425
18	3	6	-0.902378
17	3	5	-6.1935709999999995
16	3	4	12.835875999999999
15	3	3	17.338727000000002
14	3	2	8.016856
13	3	1	2.069632
12	2	13	-1.218342
11	2	12	-0.433216
10	2	11	-0.150776
9	2	10	-2.072003
8	2	9	-2.194871
7	2	8	-3.016872
6	2	7	-2.968012
5	2	6	-3.7156879999999997
4	2	5	-3.441042
3	2	4	-11.384979
2	2	1	-5.482865
1	1	6	4.349694
0	1	1	-17.301273000000002
