	k	i	s
90	10	6	1.641393
89	10	5	0.27585
88	10	4	-0.10442
87	10	3	0.124673
86	10	2	-0.10848499999999998
85	10	1	-3.3324769999999995
84	9	9	-0.857568
83	9	8	-0.023999
82	9	7	-1.2476399999999999
81	9	6	-0.936844
80	9	5	0.803589
79	9	4	0.917233
78	9	3	2.490815
77	9	2	5.712553
76	9	1	-1.1156059999999999
75	8	7	1.114105
74	8	6	-1.8218009999999998
73	8	5	-1.535413
72	8	4	-4.978601
71	8	3	-2.629812
70	8	2	-2.5310639999999998
69	8	1	-7.50824
68	7	9	-9.856148000000001
67	7	8	-12.428283
66	7	7	-3.20946
65	7	6	-1.6470799999999999
64	7	5	-1.49213
63	7	4	-4.283183
62	7	3	-3.4652130000000003
61	7	2	-4.888396
60	7	1	-10.276760000000001
59	6	8	1.784759
58	6	7	1.147529
57	6	6	1.641234
56	6	5	2.408747
55	6	4	-0.143093
54	6	3	-0.727941
53	6	2	-4.195937000000001
52	6	1	-5.807277
51	5	14	0.306467
50	5	13	0.108825
49	5	12	1.978415
48	5	11	1.399939
47	5	10	2.632241
46	5	9	2.0741680000000002
45	5	8	2.582047
44	5	7	2.361275
43	5	6	2.426966
42	5	5	2.550395
41	5	4	1.983956
40	5	3	2.2314689999999997
39	5	2	1.1916579999999999
38	5	1	1.4329120000000002
37	4	9	1.4738950000000002
36	4	8	2.488069
35	4	7	3.194027
34	4	6	4.050543
33	4	5	7.377273000000001
32	4	4	-3.032579
31	4	3	34.556545
30	4	2	-19.303936999999998
29	4	1	-35.039448
28	3	10	-5.757418
27	3	9	36.505196000000005
26	3	8	4.422745
25	3	7	45.967152
24	3	6	3.6620690000000002
23	3	5	6.461714
22	3	4	6.250074
21	3	3	7.818861999999999
20	3	2	20.171933
19	3	1	7.195172
18	2	13	2.39905
17	2	12	0.9709530000000001
16	2	11	0.553161
15	2	10	-0.25096599999999997
14	2	9	-0.7830229999999999
13	2	8	-0.97534
12	2	7	-0.9066700000000001
11	2	6	-1.0093590000000001
10	2	5	-0.6514449999999999
9	2	4	-1.158941
8	2	3	-0.498921
7	2	2	1.446958
6	2	1	2.165813
5	1	6	-7.299586
4	1	5	-5.9362449999999995
3	1	4	-8.704094
2	1	3	-8.195266
1	1	2	-5.762284999999999
0	1	1	-17.345573
