k	j	i	s	
10	106	6	-1.380667	
10	106	5	-1.414731	
10	105	4	-1.064629	
10	105	3	-0.987932	
10	104	2	-0.423248	
10	104	1	-0.150822	
9	104	9	0.306706	
9	103	8	0.918221	
9	103	7	1.662729	
9	102	6	2.453619	
9	102	5	2.619950	
9	101	4	8.523134	
9	100	3	11.337089	
9	99	3	11.546719	
9	98	2	12.081226	
9	97	2	7.025072	
9	96	1	2.926775	
8	96	7	2.546763	
8	95	7	2.501450	
8	95	6	1.553807	
8	94	5	2.855816	
8	93	5	2.817453	
8	92	4	4.577909	
8	91	4	2.929539	
8	90	3	3.049188	
8	89	3	2.097166	
8	88	2	2.335064	
8	87	2	2.115808	
8	87	1	3.207982	
7	87	9	-2.944957	
7	86	8	-4.520493	
7	86	7	-2.862286	
7	85	6	-2.172235	
7	85	5	-1.060752	
7	84	4	0.783429	
7	83	4	0.775923	
7	82	3	4.732747	
7	81	3	-5.777561	
7	80	2	-2.884500	
7	79	2	-4.989982	
7	78	1	0.671529	
6	78	8	-0.303509	
6	77	8	1.095228	
6	76	7	0.781622	
6	75	7	1.469597	
6	74	6	1.646178	
6	73	6	-0.477395	
6	73	5	-1.022190	
6	72	4	0.646637	
6	71	4	-1.343081	
6	70	3	-1.587057	
6	69	3	-1.257017	
6	69	2	-1.532150	
6	68	1	-4.366295	
5	68	14	-3.726919	
5	67	14	-2.418569	
5	66	13	-3.020575	
5	65	13	-0.988007	
5	65	12	-1.015954	
5	64	11	-2.349180	
5	63	11	-1.985842	
5	63	10	-2.234226	
5	62	9	-2.224712	
5	62	8	-2.346803	
5	61	7	-1.259006	
5	61	6	-1.499951	
5	60	5	-1.899233	
5	60	4	-2.008637	
5	59	3	-2.739169	
5	59	2	-2.304019	
5	58	1	-3.818857	
4	58	9	-0.506071	
4	57	9	-4.345599	
4	56	8	-2.921385	
4	56	7	-4.578641	
4	55	6	-5.802861	
4	55	5	-3.908036	
4	54	4	-4.862538	
4	53	3	2.117192	
4	53	2	-14.851989	
4	52	1	-31.916542	
3	52	10	-0.886312	
3	52	9	-4.515789	
3	51	8	4.141554	
3	50	7	-1.789821	
3	49	6	10.965523	
3	48	5	14.363038	
3	47	4	15.944252	
3	46	3	8.363262	
3	45	3	7.433496	
3	44	2	10.204776	
3	43	2	2.826873	
3	43	1	4.694342	
2	43	13	0.536765	
2	42	12	0.048597	
2	42	11	-0.027982	
2	41	10	-0.708069	
2	41	9	-0.854585	
2	40	8	-0.434649	
2	40	7	-0.464872	
2	39	6	-1.231315	
2	39	5	-1.206618	
2	38	4	-0.721698	
2	38	3	-0.485859	
2	37	2	-1.432483	
2	36	1	-0.322552	
1	36	6	-1.172454	
1	36	5	-0.827704	
1	35	4	10.875115	
1	34	3	5.693160	
1	33	2	14.954555	
1	32	1	4.595514	
