	k	i	s
90	10	6	0.7150810000000001
89	10	5	0.6842739999999999
88	10	4	-0.835292
87	10	3	-0.8769889999999999
86	10	2	1.2876
85	10	1	1.148321
84	9	9	2.213148
83	9	8	4.76237
82	9	7	7.1173020000000005
81	9	6	-1.75869
80	9	5	2.398227
79	9	4	2.160157
78	9	3	25.36233
77	9	2	10.531105
76	9	1	4.730678
75	8	7	-0.142005
74	8	6	5.964361
73	8	5	10.20706
72	8	4	18.74051
71	8	3	18.980395
70	8	2	14.414624
69	8	1	2.970803
68	7	9	3.7843370000000003
67	7	8	2.994771
66	7	7	7.597094
65	7	6	-0.84902
64	7	5	0.48049200000000003
63	7	4	-14.062518
62	7	3	-4.463434
61	7	2	-0.02830599999999997
60	7	1	0.873202
59	6	8	1.121291
58	6	7	-3.5812019999999998
57	6	6	14.913291000000001
56	6	5	11.840094
55	6	4	11.185255
54	6	3	27.567692
53	6	2	20.897122
52	6	1	7.3489960000000005
51	5	14	0.777047
50	5	13	0.23315500000000003
49	5	12	0.48426800000000003
48	5	11	2.051544
47	5	10	2.1051509999999998
46	5	9	2.582243
45	5	8	2.553896
44	5	7	3.46119
43	5	6	3.572317
42	5	5	4.492661
41	5	4	4.670246
40	5	3	9.736792
39	5	2	4.922328
38	5	1	5.048404
37	4	9	2.653541
36	4	8	3.21545
35	4	7	3.931665
34	4	6	24.199251
33	4	5	6.674207999999999
32	4	4	-15.252899
31	4	3	16.262434
30	4	2	-10.897418
29	4	1	19.319592
28	3	10	-6.009447000000001
27	3	9	28.025421
26	3	8	5.376633999999999
25	3	7	34.5317
24	3	6	5.259967
23	3	5	6.244429
22	3	4	3.644745
21	3	3	5.8131699999999995
20	3	2	6.34501
19	3	1	4.690769
18	2	13	3.273879
17	2	12	0.811497
16	2	11	0.651726
15	2	10	1.783306
14	2	9	1.363421
13	2	8	1.4492969999999998
12	2	7	1.516263
11	2	6	2.179057
10	2	5	2.107222
9	2	4	1.402102
8	2	3	1.4067120000000002
7	2	2	2.629614
6	2	1	3.749138
5	1	6	5.33551
4	1	5	1.2400010000000001
3	1	4	0.523055
2	1	3	6.559034
1	1	2	13.075662
0	1	1	6.285275
