k	j	i	s	
10	166	6	0.031333	
10	166	5	-0.337263	
10	165	4	4.012434	
10	164	3	-0.283819	
10	163	3	6.005019	
10	162	2	3.756769	
10	162	1	3.095020	
9	162	9	0.759937	
9	161	8	4.236516	
9	161	7	4.193541	
9	160	6	4.896882	
9	159	6	7.539752	
9	158	5	4.550822	
9	157	4	12.806704	
9	156	3	13.584793	
9	155	3	13.328681	
9	154	2	7.341090	
9	153	2	4.394222	
9	152	1	0.094862	
8	152	7	2.001179	
8	151	6	8.654616	
8	150	5	2.241177	
8	149	5	0.003785	
8	148	4	0.789130	
8	147	4	4.352333	
8	146	3	3.215132	
8	145	3	3.588718	
8	144	2	3.971054	
8	143	2	2.638475	
8	142	1	0.746433	
7	142	9	-1.950493	
7	141	9	-2.083131	
7	141	8	-2.227785	
7	140	7	-0.786788	
7	139	7	-1.374167	
7	138	6	0.354242	
7	137	6	0.897950	
7	136	5	-2.714535	
7	135	5	-6.632746	
7	134	4	-3.555481	
7	133	4	-1.559763	
7	132	3	-0.403176	
7	131	3	-1.433346	
7	130	2	-6.561987	
7	129	2	-5.979353	
7	128	1	-7.318530	
6	128	8	-8.078883	
6	127	8	-0.196424	
6	126	7	-9.209477	
6	125	7	-10.418054	
6	124	6	-11.963395	
6	123	6	-13.679845	
6	122	5	-5.125605	
6	121	5	-8.048391	
6	120	4	-5.818209	
6	119	3	-5.861654	
6	118	2	-3.346172	
6	117	2	-4.577417	
6	116	1	-9.320305	
5	116	14	-3.035706	
5	116	13	-2.214482	
5	115	12	-2.453648	
5	114	11	-0.746862	
5	113	11	1.016659	
5	112	10	-0.698086	
5	111	10	1.397602	
5	110	9	0.761593	
5	109	9	3.611497	
5	108	8	3.366852	
5	107	8	2.545699	
5	106	7	3.439047	
5	105	7	2.474995	
5	104	6	1.153394	
5	103	6	2.839129	
5	102	5	-1.053148	
5	101	5	1.146328	
5	100	4	0.854084	
5	99	4	5.322999	
5	98	3	4.369565	
5	97	3	5.947232	
5	96	2	0.883241	
5	96	1	0.914461	
4	96	9	0.901292	
4	95	8	4.015903	
4	94	7	22.227722	
4	93	6	-0.114306	
4	93	5	-0.327158	
4	92	4	11.279187	
4	91	3	-14.828415	
4	91	2	-13.557050	
4	90	1	-48.464340	
3	90	10	1.103010	
3	90	9	11.518440	
3	89	8	-8.220469	
3	88	7	22.735781	
3	87	7	-15.282712	
3	86	6	-0.244130	
3	85	6	-5.253859	
3	84	5	5.164295	
3	83	5	3.856387	
3	82	4	13.748100	
3	81	4	11.682902	
3	80	3	19.523096	
3	79	3	5.779959	
3	78	2	6.314946	
3	78	1	9.140843	
2	78	13	-2.533216	
2	77	12	-3.760880	
2	77	11	-4.558761	
2	76	10	-4.593964	
2	76	9	-5.339600	
2	75	8	-5.631832	
2	75	7	-6.060163	
2	74	6	-5.222803	
2	74	5	-5.688581	
2	73	4	-5.314373	
2	73	3	-5.510461	
2	72	2	-4.911137	
2	72	1	-5.137694	
1	72	6	0.617100	
1	71	5	2.502891	
1	71	4	6.028486	
1	70	3	9.585736	
1	69	2	14.856977	
1	68	1	9.184486	
