k	j	i	s	
10	164	6	7.845144	
10	163	5	2.596092	
10	163	4	2.922034	
10	162	3	5.558626	
10	161	3	7.056584	
10	160	2	5.605790	
10	160	1	5.543510	
9	160	9	3.641819	
9	159	8	3.587846	
9	159	7	3.393889	
9	158	6	13.465632	
9	157	6	12.887876	
9	156	5	13.807347	
9	155	5	10.614408	
9	154	4	10.677532	
9	153	4	10.771697	
9	152	3	19.798271	
9	151	3	8.144086	
9	150	2	8.895495	
9	149	2	-1.573307	
9	148	1	2.384027	
8	148	7	4.815406	
8	147	7	8.699030	
8	146	6	5.822374	
8	145	6	1.785789	
8	144	5	2.225006	
8	143	5	1.723605	
8	142	4	4.508061	
8	141	4	3.566011	
8	140	3	4.341869	
8	139	3	4.482765	
8	138	2	8.204108	
8	137	2	4.174372	
8	136	1	1.161509	
7	136	9	-10.138678	
7	135	9	-7.596811	
7	134	8	-2.136792	
7	133	8	-12.446333	
7	132	7	-3.583657	
7	131	7	-10.672139	
7	130	6	-6.390419	
7	129	6	-8.617918	
7	128	5	-7.010172	
7	127	5	-5.992230	
7	126	4	-3.433218	
7	125	4	-1.180677	
7	124	3	-0.686908	
7	123	3	-4.753551	
7	122	2	-0.509404	
7	121	2	-3.086778	
7	120	1	2.525953	
6	120	8	-4.475565	
6	119	8	-1.617651	
6	118	7	-9.298313	
6	117	7	-5.476462	
6	117	6	-5.598602	
6	116	5	-5.592577	
6	116	4	-6.496220	
6	115	3	-5.096177	
6	115	2	-5.865191	
6	114	1	-12.157636	
5	114	14	-7.565586	
5	113	14	-5.113823	
5	112	13	-5.102036	
5	111	13	-3.775385	
5	110	12	-2.752152	
5	109	12	-2.298367	
5	108	11	-1.723065	
5	108	10	-2.078745	
5	107	9	-3.753100	
5	107	8	-3.595193	
5	106	7	-2.111069	
5	106	6	-2.415097	
5	105	5	-1.095999	
5	105	4	-1.165664	
5	104	3	-1.944452	
5	104	2	-1.885801	
5	103	1	-5.927035	
4	103	9	-2.649289	
4	103	8	-8.328675	
4	102	7	10.068344	
4	101	7	2.284253	
4	101	6	-0.671123	
4	100	5	5.288517	
4	99	4	-2.079448	
4	98	3	49.735260	
4	97	2	5.252802	
4	96	1	53.185356	
3	96	10	0.113551	
3	95	10	-5.036642	
3	94	9	30.162830	
3	93	8	1.140384	
3	92	7	46.834724	
3	91	6	7.181412	
3	90	5	9.200971	
3	89	4	2.899023	
3	89	3	1.332676	
3	88	2	1.559290	
3	88	1	0.683175	
2	88	13	-2.689662	
2	87	12	-2.603696	
2	87	11	-2.805870	
2	86	10	-4.114726	
2	86	9	-4.634546	
2	85	8	-5.708413	
2	85	7	-5.850124	
2	84	6	-6.126071	
2	84	5	-5.935273	
2	83	4	-6.102461	
2	83	3	-5.608232	
2	82	2	-5.968839	
2	82	1	-5.153522	
1	82	6	-4.468628	
1	81	5	-3.995263	
1	81	4	-5.604386	
1	80	3	-5.375477	
1	80	2	-5.713566	
1	79	1	-13.273058	
