k	j	i	s	
10	152	6	0.250158	
10	151	6	0.515643	
10	151	5	-0.355017	
10	150	4	3.819764	
10	149	4	1.666175	
10	148	3	5.349953	
10	147	3	4.993561	
10	146	2	6.633572	
10	145	2	2.322706	
10	145	1	2.789536	
9	145	9	1.891119	
9	144	8	4.719972	
9	143	8	4.875481	
9	142	7	6.386972	
9	141	7	7.968610	
9	140	6	12.724607	
9	139	6	12.330998	
9	138	5	14.382553	
9	137	4	15.693398	
9	136	3	22.000553	
9	135	2	8.128369	
9	135	1	8.813053	
8	135	7	2.818741	
8	134	6	9.198706	
8	133	6	-3.380605	
8	132	5	7.128424	
8	131	5	11.420871	
8	130	4	7.156638	
8	129	4	8.447443	
8	128	3	5.291741	
8	127	3	5.721235	
8	126	2	2.097345	
8	126	1	1.488606	
7	126	9	1.226454	
7	125	8	1.422157	
7	125	7	1.977158	
7	124	6	7.777209	
7	123	6	9.682021	
7	122	5	4.641518	
7	121	5	3.646963	
7	120	4	-0.511004	
7	119	4	2.746929	
7	118	3	-6.981462	
7	117	3	1.301120	
7	116	2	-14.498401	
7	115	2	-1.910150	
7	114	1	-3.176272	
6	114	8	-3.695253	
6	113	8	1.582893	
6	112	7	-8.515361	
6	111	7	-9.024286	
6	110	6	-7.311044	
6	109	6	-5.556920	
6	109	5	-6.506545	
6	108	4	-9.339244	
6	107	4	-6.659880	
6	107	3	-7.075363	
6	106	2	-9.351150	
6	105	2	-12.856623	
6	104	1	-15.825043	
5	104	14	-3.961469	
5	103	14	-2.186345	
5	102	13	-3.550552	
5	101	13	-4.378571	
5	100	12	-2.792192	
5	99	12	-3.237425	
5	98	11	-1.007450	
5	97	11	-1.902231	
5	96	10	-1.259007	
5	95	10	-0.030673	
5	94	9	3.122893	
5	93	9	2.816247	
5	92	8	4.631806	
5	91	8	5.261006	
5	90	7	7.336482	
5	89	7	9.319076	
5	88	6	10.360137	
5	87	6	10.509315	
5	86	5	10.891397	
5	85	5	12.372108	
5	84	4	12.190729	
5	83	4	13.194454	
5	82	3	11.355452	
5	81	3	11.436152	
5	80	2	8.139979	
5	79	2	3.289620	
5	79	1	3.631174	
4	79	9	0.737844	
4	78	8	0.772102	
4	77	7	-1.397608	
4	77	6	-2.722475	
4	76	5	1.799352	
4	75	5	-1.476660	
4	75	4	-3.263111	
4	74	3	-14.744334	
4	74	2	-5.138574	
4	73	1	-25.760468	
3	73	10	-2.657214	
3	72	9	-4.499586	
3	71	9	-0.326154	
3	71	8	-2.299811	
3	70	7	3.873050	
3	69	7	2.448840	
3	69	6	0.991880	
3	68	5	9.089856	
3	67	5	8.100721	
3	66	4	11.504353	
3	65	4	8.389200	
3	64	3	13.568415	
3	63	3	8.847471	
3	62	2	7.473467	
3	62	1	9.308066	
2	62	13	3.773262	
2	61	12	2.700048	
2	61	11	2.677074	
2	60	10	2.591645	
2	60	9	2.325573	
2	59	8	1.399410	
2	59	7	1.323256	
2	58	6	2.114821	
2	58	5	2.270606	
2	57	4	2.878694	
2	57	3	3.161828	
2	56	2	2.455177	
2	56	1	2.735171	
1	56	6	1.597799	
1	55	5	9.401538	
1	55	4	16.257235	
1	54	3	15.525286	
1	53	2	34.554691	
1	52	1	14.385557	
