k	j	i	s	
10	195	6	-1.487699	
10	195	5	-1.574441	
10	194	4	-1.437692	
10	194	3	-1.195773	
10	193	2	-1.363463	
10	192	1	-2.947609	
9	192	9	0.636522	
9	191	9	1.879563	
9	190	8	1.417747	
9	189	8	2.763724	
9	188	7	1.602860	
9	187	7	4.705108	
9	186	6	5.277755	
9	185	5	6.551066	
9	184	4	5.352559	
9	183	3	13.096038	
9	182	2	7.690048	
9	181	2	4.106799	
9	181	1	4.936290	
8	181	7	1.671691	
8	180	6	-0.199478	
8	179	5	3.303574	
8	178	4	7.035095	
8	177	4	4.986943	
8	176	3	6.694018	
8	175	2	1.559546	
8	175	1	1.054603	
7	175	9	-0.581550	
7	174	8	0.387441	
7	174	7	0.869397	
7	173	6	1.057602	
7	173	5	1.333200	
7	172	4	3.016006	
7	171	3	4.846033	
7	170	2	3.128113	
7	169	2	3.103493	
7	168	1	2.076439	
6	168	8	-1.649075	
6	167	8	5.197164	
6	166	7	-1.147060	
6	165	7	2.508909	
6	164	6	6.761668	
6	163	6	5.874080	
6	162	5	9.455388	
6	161	5	11.622241	
6	160	4	9.791026	
6	159	4	13.385635	
6	158	3	9.922032	
6	157	3	11.757394	
6	156	2	10.193489	
6	155	2	4.787413	
6	155	1	5.372502	
5	155	14	2.849753	
5	154	13	2.699042	
5	154	12	2.838452	
5	153	11	4.441742	
5	153	10	4.529208	
5	152	9	5.508405	
5	152	8	5.399356	
5	151	7	6.467121	
5	151	6	6.541479	
5	150	5	5.807202	
5	150	4	5.978749	
5	149	3	13.770424	
5	148	2	12.463030	
5	147	2	6.253248	
5	147	1	6.267044	
4	147	9	3.550824	
4	146	8	3.392263	
4	146	7	4.155684	
4	145	6	27.138208	
4	144	5	17.349644	
4	143	4	22.277750	
4	142	3	-8.030226	
4	141	2	14.537394	
4	140	1	-13.214149	
3	140	10	-1.808834	
3	140	9	-5.175998	
3	139	8	-1.572842	
3	139	7	2.423272	
3	138	6	-4.744836	
3	137	6	3.762059	
3	136	5	-1.849549	
3	136	4	-1.873849	
3	135	3	0.810350	
3	135	2	-0.269953	
3	134	1	-6.635930	
2	134	13	-0.109587	
2	134	12	-0.622151	
2	133	11	-0.017459	
2	133	10	0.819872	
2	132	9	2.237280	
2	132	8	2.252323	
2	131	7	2.336489	
2	131	6	2.332246	
2	130	5	0.997366	
2	130	4	1.080193	
2	129	3	3.745697	
2	129	2	4.086496	
2	128	1	1.778184	
1	128	6	6.957016	
1	128	5	9.066152	
1	127	4	9.380773	
1	127	3	5.736987	
1	126	2	26.438360	
1	125	2	19.866982	
1	124	1	16.340075	
