k	j	i	s	
10	162	6	4.046719	
10	161	6	6.114286	
10	160	5	3.345848	
10	159	5	6.988534	
10	158	4	6.902239	
10	157	4	8.050485	
10	156	3	6.915780	
10	155	3	6.463378	
10	154	2	9.442977	
10	153	2	10.107578	
10	152	1	7.676770	
9	152	9	3.206635	
9	151	9	1.978895	
9	150	8	-1.238363	
9	149	8	1.151432	
9	148	7	0.269152	
9	147	7	0.265665	
9	146	6	0.754206	
9	145	6	5.119205	
9	144	5	4.245443	
9	143	5	9.752514	
9	142	4	6.259739	
9	141	4	13.188345	
9	140	3	18.758369	
9	139	3	6.767836	
9	138	2	5.423350	
9	138	1	7.815798	
8	138	7	0.150521	
8	137	6	0.145289	
8	137	5	0.740202	
8	136	4	3.896920	
8	135	4	7.038658	
8	134	3	6.040033	
8	133	3	6.415932	
8	132	2	4.432734	
8	132	1	3.242240	
7	132	9	2.114422	
7	131	8	1.380411	
7	131	7	1.414867	
7	130	6	7.115694	
7	129	5	7.532671	
7	128	4	8.212229	
7	127	3	13.536310	
7	126	2	12.048725	
7	125	2	8.640100	
7	124	1	6.774929	
6	124	8	2.853636	
6	123	8	2.157702	
6	122	7	0.814268	
6	121	7	5.032848	
6	120	6	8.409981	
6	119	6	10.397272	
6	118	5	8.947422	
6	117	4	13.068633	
6	116	3	9.244999	
6	115	2	5.862563	
6	115	1	5.912794	
5	115	14	1.522253	
5	114	13	1.329148	
5	114	12	1.453063	
5	113	11	2.725622	
5	113	10	2.732825	
5	112	9	4.065811	
5	111	8	3.160200	
5	111	7	3.124679	
5	110	6	5.268681	
5	109	5	8.211699	
5	108	4	8.375592	
5	107	4	11.140100	
5	106	3	9.678076	
5	105	3	11.540429	
5	104	2	10.559250	
5	103	2	5.351141	
5	103	1	5.529235	
4	103	9	3.199715	
4	102	8	5.021344	
4	102	7	8.132412	
4	101	6	19.866995	
4	100	5	26.787374	
4	99	4	24.411657	
4	98	3	51.188522	
4	97	2	27.591290	
4	96	1	45.949593	
3	96	10	0.843308	
3	95	10	-0.193189	
3	94	9	12.197132	
3	94	8	-0.697669	
3	93	7	6.251325	
3	93	6	5.545349	
3	92	5	0.829896	
3	92	4	-0.611760	
3	91	3	4.569078	
3	91	2	2.745299	
3	90	1	-3.430852	
2	90	13	-0.629840	
2	90	12	-2.367872	
2	89	11	0.077060	
2	89	10	-1.453357	
2	88	9	-2.053476	
2	88	8	-1.991774	
2	87	7	-1.822697	
2	87	6	-1.440596	
2	86	5	-2.851805	
2	86	4	-2.579916	
2	85	3	-1.521898	
2	85	2	-0.769677	
2	84	1	-1.240285	
1	84	6	2.267966	
1	84	5	3.573114	
1	83	4	9.779127	
1	83	3	6.828489	
1	82	2	17.423975	
1	81	2	16.994053	
1	80	1	7.399917	
