k	j	i	s	
10	124	6	1.751426	
10	123	6	0.412049	
10	122	5	2.476793	
10	121	5	2.617195	
10	120	4	2.869887	
10	119	4	2.209108	
10	118	3	2.209913	
10	117	3	2.986154	
10	116	2	2.485432	
10	115	2	-0.123849	
10	114	1	-0.297297	
9	114	9	1.036042	
9	113	9	0.658750	
9	112	8	-1.231021	
9	111	8	-0.655028	
9	110	7	-1.430088	
9	109	7	-0.776596	
9	108	6	0.953795	
9	107	6	2.705911	
9	106	5	6.033425	
9	105	5	7.658126	
9	104	4	9.540946	
9	103	4	5.103295	
9	103	3	5.037689	
9	102	2	11.535587	
9	101	2	3.511502	
9	101	1	3.630969	
8	101	7	3.289308	
8	100	6	2.809545	
8	100	5	3.807808	
8	99	4	8.308861	
8	98	3	5.595546	
8	97	2	2.810363	
8	97	1	2.400167	
7	97	9	0.574711	
7	96	8	3.186291	
7	95	8	1.683058	
7	95	7	1.560532	
7	94	6	5.372530	
7	93	6	8.381181	
7	92	5	6.525414	
7	91	4	8.333772	
7	90	3	8.964890	
7	89	3	10.048866	
7	88	2	8.859038	
7	87	2	2.046149	
7	86	1	-3.300858	
6	86	8	8.309041	
6	85	8	12.084900	
6	84	7	8.192537	
6	84	6	8.796845	
6	83	5	16.146391	
6	82	4	20.388800	
6	81	4	17.159542	
6	80	3	21.417784	
6	79	3	15.352562	
6	78	2	8.225147	
6	78	1	9.669431	
5	78	14	4.964247	
5	77	13	3.846235	
5	77	12	4.268866	
5	76	11	5.739812	
5	76	10	5.618353	
5	75	9	4.910508	
5	75	8	4.882886	
5	74	7	5.813329	
5	74	6	5.968791	
5	73	5	13.224640	
5	72	4	14.674748	
5	71	4	13.718055	
5	70	3	12.904005	
5	69	3	12.456100	
5	68	2	5.069765	
5	68	1	5.460721	
4	68	9	4.142766	
4	67	8	3.475418	
4	67	7	3.592684	
4	66	6	14.125585	
4	65	5	25.775652	
4	64	4	12.591394	
4	63	4	18.045368	
4	62	3	43.274120	
4	61	2	12.895501	
4	60	1	33.866833	
3	60	10	-1.960250	
3	59	10	-3.554335	
3	58	9	19.390591	
3	57	8	-2.932898	
3	56	7	28.600443	
3	55	6	13.236511	
3	54	5	15.833694	
3	53	4	19.480505	
3	52	3	17.462738	
3	51	2	7.572117	
3	51	1	7.909861	
2	51	13	2.236166	
2	50	12	2.578248	
2	50	11	2.223686	
2	49	10	2.346232	
2	49	9	1.524542	
2	48	8	0.069734	
2	48	7	-0.254634	
2	47	6	-2.287314	
2	47	5	-2.127319	
2	46	4	-0.448290	
2	46	3	-0.025752	
2	45	2	-0.798093	
2	45	1	-0.351468	
1	45	6	-3.338638	
1	44	5	-1.508912	
1	44	4	1.145349	
1	43	3	-2.877299	
1	43	2	-2.465209	
1	42	1	0.774655	
