k	j	i	s	
10	77	6	1.375009	
10	76	5	-1.236460	
10	75	4	1.480110	
10	74	3	-0.045102	
10	73	3	1.147778	
10	72	2	0.124402	
10	71	2	0.858990	
10	70	1	0.609851	
9	70	9	-0.259942	
9	69	9	1.081192	
9	69	8	0.703108	
9	68	7	2.168741	
9	67	7	1.575071	
9	67	6	1.278486	
9	66	5	1.874086	
9	65	4	3.551611	
9	64	3	2.255705	
9	63	3	2.426163	
9	62	2	-0.640206	
9	61	2	0.830344	
9	60	1	-1.836860	
8	60	7	0.193304	
8	59	7	-1.389995	
8	58	6	-2.132192	
8	57	6	-3.876018	
8	56	5	-0.403273	
8	55	5	-0.623225	
8	54	4	0.627037	
8	53	3	-3.270452	
8	52	2	-3.173850	
8	51	1	-6.326656	
7	51	9	-5.960791	
7	51	8	-5.217402	
7	50	7	-5.021070	
7	50	6	-4.890485	
7	49	5	-4.167983	
7	49	4	-3.650885	
7	48	3	-4.533317	
7	47	2	-8.087940	
7	46	1	-4.765260	
6	46	8	-1.737015	
6	45	8	0.189313	
6	44	7	0.414194	
6	43	7	-0.902808	
6	43	6	-1.447018	
6	42	5	-3.958189	
6	41	5	0.793443	
6	40	4	-1.081254	
6	39	4	3.050685	
6	38	3	0.664041	
6	37	3	6.953179	
6	36	2	10.824091	
6	35	2	4.561659	
6	35	1	5.982582	
5	35	14	-0.485796	
5	34	13	0.502230	
5	34	12	0.967771	
5	33	11	0.736488	
5	33	10	0.776529	
5	32	9	1.031620	
5	32	8	1.127643	
5	31	7	1.701889	
5	31	6	1.796276	
5	30	5	2.456885	
5	30	4	2.673441	
5	29	3	4.390506	
5	28	2	2.607407	
5	28	1	2.799822	
4	28	9	0.487265	
4	27	8	-1.006426	
4	26	7	12.257948	
4	25	6	2.490584	
4	24	5	5.196820	
4	24	4	6.698115	
4	23	3	-2.879834	
4	22	2	10.479718	
4	21	1	-6.291343	
3	21	10	5.859443	
3	20	9	-0.536476	
3	19	9	2.567048	
3	19	8	0.356896	
3	18	7	1.375978	
3	17	7	1.598657	
3	16	6	0.042251	
3	15	6	-0.288662	
3	14	5	4.398555	
3	13	5	2.068427	
3	12	4	1.481892	
3	11	3	-1.790866	
3	10	2	1.888706	
3	10	1	2.231685	
2	10	13	-0.279941	
2	9	12	-1.181889	
2	9	11	-1.346445	
2	8	10	-0.755357	
2	8	9	-1.117684	
2	7	8	-3.737206	
2	7	7	-3.698839	
2	6	6	-3.557812	
2	6	5	-3.317869	
2	5	4	-4.753815	
2	5	3	-4.046534	
2	4	2	-7.863653	
2	4	1	-6.872417	
1	4	6	-12.637721	
1	4	1	-1.012963	
