k	j	i	s	
10	93	6	-0.677180	
10	93	5	-0.665486	
10	92	4	-0.585516	
10	92	3	-0.360204	
10	91	2	-0.204030	
10	90	1	0.442859	
9	90	9	1.322277	
9	89	9	5.218726	
9	88	8	3.307382	
9	87	8	10.225207	
9	86	7	9.877274	
9	85	6	3.306752	
9	85	5	3.707866	
9	84	4	8.577848	
9	83	4	7.139875	
9	82	3	2.637599	
9	81	3	4.110418	
9	80	2	-0.403607	
9	79	2	0.671933	
9	78	1	0.188313	
8	78	7	-0.672796	
8	77	7	-0.569926	
8	76	6	-2.216547	
8	75	5	-2.382212	
8	74	4	-1.221734	
8	73	4	-1.685279	
8	72	3	-2.551257	
8	71	3	-1.992979	
8	70	2	-3.255470	
8	69	2	-3.945547	
8	68	1	-5.869827	
7	68	9	-3.998307	
7	68	8	-4.382140	
7	67	7	-3.711146	
7	67	6	-3.512781	
7	66	5	-5.727975	
7	65	5	-3.427296	
7	64	4	-3.073084	
7	63	3	-1.580060	
7	63	2	-1.751683	
7	62	1	-5.134745	
6	62	8	-4.688420	
6	61	7	1.262898	
6	61	6	0.902036	
6	60	5	-2.490243	
6	59	5	4.632034	
6	58	4	-0.958945	
6	58	3	-1.754434	
6	57	2	-0.031942	
6	57	1	0.724985	
5	57	14	-0.570850	
5	56	13	0.001869	
5	56	12	-0.381437	
5	55	11	5.810509	
5	54	10	3.709688	
5	53	10	2.275962	
5	53	9	2.263667	
5	52	8	3.220094	
5	51	8	2.989253	
5	51	7	2.971999	
5	50	6	5.964190	
5	49	6	7.073026	
5	48	5	7.026033	
5	47	5	9.268960	
5	46	4	9.277018	
5	45	4	12.032813	
5	44	3	12.074007	
5	43	3	11.884583	
5	42	2	4.715764	
5	42	1	4.627845	
4	42	9	3.463365	
4	41	8	8.599944	
4	40	7	9.856258	
4	40	6	7.590094	
4	39	5	15.416649	
4	38	4	23.691002	
4	37	3	-5.795004	
4	36	2	15.805755	
4	35	1	-8.893969	
3	35	10	-3.651199	
3	34	9	4.624612	
3	33	8	-2.546634	
3	32	7	10.337441	
3	31	6	-0.738054	
3	31	5	-0.875296	
3	30	4	-0.926297	
3	30	3	-0.072362	
3	29	2	0.407374	
3	28	1	0.370159	
2	28	13	-0.374238	
2	27	13	2.122626	
2	26	12	-0.014199	
2	26	11	-0.015189	
2	25	10	0.448479	
2	25	9	0.146475	
2	24	8	-0.759011	
2	24	7	-0.753313	
2	23	6	0.241163	
2	23	5	0.335749	
2	22	4	-0.004485	
2	22	3	0.371493	
2	21	2	1.542394	
2	20	1	0.140297	
1	20	6	-1.230475	
1	20	5	-0.784834	
1	19	4	1.372410	
1	18	3	10.410354	
1	17	3	-3.428390	
1	16	2	8.801468	
1	15	1	-5.275362	
