k	j	i	s	
10	102	6	0.942818	
10	101	5	-1.250104	
10	101	4	-1.504947	
10	100	3	2.156282	
10	99	2	0.652644	
10	98	1	3.651042	
9	98	9	4.218036	
9	97	9	4.538336	
9	96	8	8.573034	
9	95	8	13.354920	
9	94	7	5.899219	
9	94	6	5.654452	
9	93	5	10.121130	
9	92	4	8.194933	
9	91	3	8.500955	
9	90	2	6.228626	
9	89	2	2.046508	
9	89	1	2.699553	
8	89	7	0.868624	
8	88	6	3.520735	
8	88	5	3.441953	
8	87	4	3.548090	
8	86	3	4.307862	
8	85	3	1.731971	
8	84	2	2.886998	
8	84	1	2.948320	
7	84	9	1.392698	
7	83	8	1.178804	
7	83	7	1.469768	
7	82	6	3.333224	
7	82	5	3.690784	
7	81	4	7.317389	
7	80	3	7.451884	
7	79	3	-1.229389	
7	78	2	0.122391	
7	77	2	-1.719739	
7	76	1	-5.102735	
6	76	8	-4.521619	
6	75	8	-0.849475	
6	74	7	-4.645710	
6	73	7	-4.035339	
6	72	6	-2.490610	
6	71	5	-1.739425	
6	70	4	2.136114	
6	69	3	5.906513	
6	68	2	2.685303	
6	68	1	1.547176	
5	68	14	2.461754	
5	67	13	3.718658	
5	66	12	3.353556	
5	66	11	2.162459	
5	65	10	3.213168	
5	65	9	3.394150	
5	64	8	4.236783	
5	64	7	4.115003	
5	63	6	4.654242	
5	63	5	4.695840	
5	62	4	5.919144	
5	62	3	6.133133	
5	61	2	5.736889	
5	61	1	5.585577	
4	61	9	3.617746	
4	60	8	6.312557	
4	60	7	10.843448	
4	59	6	4.373750	
4	59	5	2.743748	
4	58	4	16.117514	
4	57	4	-1.617564	
4	57	3	-4.945397	
4	56	2	19.209078	
4	55	1	-3.761317	
3	55	10	-0.285709	
3	55	9	-7.452647	
3	54	8	-0.088920	
3	54	7	6.197536	
3	53	6	-1.427542	
3	53	5	-0.277009	
3	52	4	2.696455	
3	52	3	3.009020	
3	51	2	3.773532	
3	51	1	2.039646	
2	51	13	0.907582	
2	50	12	-0.381015	
2	50	11	-0.372384	
2	49	10	-0.479049	
2	49	9	-0.611945	
2	48	8	-1.768236	
2	48	7	-1.864727	
2	47	6	-0.645934	
2	47	5	-0.601116	
2	46	4	-1.922947	
2	46	3	-1.486037	
2	45	2	-0.740562	
2	45	1	-0.052374	
1	45	6	0.380253	
1	44	5	-1.963400	
1	44	4	-0.018169	
1	43	3	-3.233248	
1	43	2	-1.934851	
1	42	1	4.956073	
