k	j	i	s	
10	66	6	2.725532	
10	65	5	2.530730	
10	64	4	-0.062030	
10	63	4	4.126034	
10	62	3	2.357714	
10	61	3	4.754405	
10	60	2	2.075137	
10	59	2	4.145242	
10	58	1	0.543655	
9	58	9	1.753773	
9	57	9	2.407668	
9	56	8	2.926068	
9	55	7	4.678933	
9	54	6	4.482380	
9	53	6	7.679219	
9	52	5	1.934761	
9	51	4	7.562698	
9	50	3	2.882939	
9	49	2	5.446075	
9	48	1	1.893134	
8	48	7	-1.019909	
8	48	6	-0.816215	
8	47	5	-2.777565	
8	47	4	-3.248092	
8	46	3	-3.057580	
8	46	2	-3.539452	
8	45	1	-9.184050	
7	45	9	0.668363	
7	45	8	-0.787530	
7	44	7	-2.158159	
7	44	6	-2.225730	
7	43	5	-2.207179	
7	43	4	-2.426703	
7	42	3	-3.338525	
7	42	2	-3.125028	
7	41	1	-1.828425	
6	41	8	0.573602	
6	41	7	-0.458232	
6	40	6	6.683053	
6	39	6	2.402152	
6	39	5	2.053089	
6	38	4	9.641747	
6	37	3	8.233607	
6	36	2	6.125809	
6	36	1	6.420921	
5	36	14	2.995994	
5	35	13	6.874710	
5	34	12	3.740662	
5	34	11	3.299534	
5	33	10	4.924806	
5	33	9	4.668060	
5	32	8	5.072689	
5	32	7	5.086925	
5	31	6	5.297139	
5	31	5	5.377774	
5	30	4	5.432177	
5	30	3	5.522217	
5	29	2	5.308959	
5	29	1	5.126060	
4	29	9	3.573248	
4	28	8	4.979209	
4	28	7	9.957280	
4	27	6	5.490467	
4	27	5	7.040442	
4	26	4	18.361750	
4	25	3	-7.249178	
4	25	2	-9.782077	
4	24	1	-28.819788	
3	24	10	-0.660483	
3	24	9	2.516878	
3	23	8	-5.514191	
3	22	7	5.764635	
3	21	6	-9.017641	
3	20	5	-5.491871	
3	19	5	0.161503	
3	19	4	-0.389329	
3	18	3	-5.518967	
3	18	2	-5.008985	
3	17	1	-3.789014	
2	17	13	-1.105748	
2	16	12	-3.171976	
2	15	11	-0.952376	
2	15	10	-1.956531	
2	14	9	-0.662305	
2	14	8	-0.807591	
2	13	7	0.301574	
2	13	6	0.058814	
2	12	5	-0.379510	
2	12	4	-0.462974	
2	11	3	-0.496924	
2	11	2	-0.520106	
2	10	1	-1.379239	
1	10	6	5.297725	
1	9	5	10.584805	
1	8	4	17.235754	
1	7	3	20.014605	
1	6	2	19.581306	
1	5	2	9.107104	
1	4	2	-7.829214	
1	4	1	-0.931253	
