k	j	i	s	
10	64	6	5.121940	
10	63	6	1.658594	
10	62	5	3.368610	
10	61	5	1.582133	
10	60	4	4.305943	
10	59	4	1.689415	
10	58	3	1.364625	
10	57	3	0.372128	
10	56	2	0.614862	
10	55	2	1.784913	
10	54	1	1.585284	
9	54	9	2.218682	
9	53	9	4.459235	
9	52	8	1.431232	
9	52	7	1.004967	
9	51	6	4.905477	
9	50	5	3.855002	
9	49	4	7.756498	
9	48	3	7.685890	
9	47	2	9.623298	
9	46	1	5.283678	
8	46	7	2.345515	
8	46	6	-0.823649	
8	45	5	0.593470	
8	45	4	-2.737746	
8	44	3	-4.040319	
8	44	2	-5.450854	
8	43	1	-9.422533	
7	43	9	1.215868	
7	43	8	-0.388282	
7	42	7	-0.560540	
7	42	6	-0.896865	
7	41	5	-0.802488	
7	41	4	-1.935272	
7	40	3	-0.564804	
7	40	2	-1.690278	
7	39	1	-4.058004	
6	39	8	1.915391	
6	39	7	3.189921	
6	38	6	5.536540	
6	37	5	2.606024	
6	37	4	2.320038	
6	36	3	7.710465	
6	35	2	5.498056	
6	35	1	4.368983	
5	35	14	1.334005	
5	34	13	2.226791	
5	34	12	2.696797	
5	33	11	1.669696	
5	33	10	1.727373	
5	32	9	1.844668	
5	32	8	1.808465	
5	31	7	2.780787	
5	31	6	3.013885	
5	30	5	2.478250	
5	30	4	2.707052	
5	29	3	2.549273	
5	29	2	2.548706	
5	28	1	0.732445	
4	28	9	0.946352	
4	28	8	2.496684	
4	27	7	4.137052	
4	27	6	6.604885	
4	26	5	9.313382	
4	25	5	8.310345	
4	24	4	1.985595	
4	23	3	25.442867	
4	22	2	10.023257	
4	21	2	-21.130512	
4	20	1	-26.840187	
3	20	10	2.188085	
3	19	9	18.610231	
3	18	8	11.683243	
3	17	7	12.173284	
3	17	6	4.492247	
3	16	5	-1.860637	
3	16	4	-3.289738	
3	15	3	-0.367187	
3	15	2	-0.471810	
3	14	1	-4.164488	
2	14	13	-0.193245	
2	14	12	-1.118972	
2	13	11	-0.265891	
2	13	10	-0.246964	
2	12	9	-0.891019	
2	12	8	-1.112659	
2	11	7	1.351595	
2	11	6	0.880536	
2	10	5	-1.324006	
2	10	4	-1.538603	
2	9	3	0.234791	
2	9	2	0.273672	
2	8	1	0.506342	
1	8	6	1.724821	
1	8	5	5.900646	
1	7	4	2.834596	
1	7	3	8.220542	
1	6	2	29.336647	
1	5	2	6.773289	
1	4	2	-3.871565	
1	4	1	7.377142	
