k	j	i	s	
10	99	6	1.860612	
10	98	5	1.917670	
10	97	5	1.190771	
10	96	4	3.026153	
10	95	4	2.584440	
10	94	3	3.021359	
10	93	3	1.655502	
10	92	2	1.674156	
10	91	2	1.433606	
10	90	1	2.526237	
9	90	9	0.521416	
9	89	9	1.865812	
9	88	8	0.952813	
9	88	7	1.234625	
9	87	6	9.501488	
9	86	5	6.088696	
9	85	5	10.079056	
9	84	4	12.476403	
9	83	3	19.155645	
9	82	2	23.582968	
9	81	2	6.778538	
9	80	1	14.219524	
8	80	7	5.348458	
8	79	7	1.903216	
8	78	6	8.681382	
8	77	6	4.973714	
8	76	5	3.797920	
8	75	5	2.696854	
8	74	4	5.465713	
8	73	4	5.291561	
8	72	3	2.230493	
8	71	3	3.116392	
8	70	2	2.232696	
8	69	2	2.052424	
8	68	1	3.256701	
7	68	9	-1.607835	
7	67	8	-2.540246	
7	66	7	2.799682	
7	65	7	-2.798216	
7	64	6	-3.943234	
7	63	6	-0.505118	
7	62	5	-7.437298	
7	61	5	-3.098876	
7	60	4	-0.721089	
7	59	4	-2.458785	
7	58	3	8.124614	
7	57	3	-8.552023	
7	56	2	6.381271	
7	55	2	-1.994491	
7	54	1	7.221895	
6	54	8	10.333474	
6	53	8	9.304862	
6	52	7	8.447843	
6	51	7	7.979728	
6	50	6	14.252772	
6	49	6	4.909424	
6	49	5	3.248717	
6	48	4	10.120459	
6	47	3	7.778441	
6	46	2	11.358759	
6	45	2	4.292026	
6	45	1	5.032541	
5	45	14	0.838872	
5	44	13	1.042147	
5	44	12	1.331090	
5	43	11	4.519287	
5	42	10	4.442852	
5	41	10	5.760971	
5	40	9	5.888920	
5	39	8	7.804818	
5	38	7	8.193660	
5	37	7	9.439431	
5	36	6	7.994850	
5	35	5	6.790028	
5	34	4	7.390293	
5	33	4	7.160722	
5	32	3	5.425620	
5	31	3	6.996063	
5	30	2	8.482928	
5	29	2	4.562482	
5	29	1	3.860875	
4	29	9	-0.617767	
4	28	8	-0.465576	
4	28	7	-2.284847	
4	27	6	-6.402583	
4	27	5	-5.105870	
4	26	4	7.937099	
4	25	3	17.243570	
4	24	2	7.174942	
4	23	2	-5.747279	
4	23	1	11.477400	
3	23	10	-3.629791	
3	22	9	10.741169	
3	21	9	7.100357	
3	21	8	-4.544592	
3	20	7	13.525790	
3	19	7	13.698739	
3	19	6	8.670467	
3	18	5	0.671216	
3	18	4	5.710284	
3	17	3	12.719074	
3	16	2	11.074254	
3	15	2	4.595687	
3	15	1	7.070333	
2	15	13	1.648901	
2	14	12	5.351134	
2	13	11	3.763564	
2	12	10	1.273976	
2	12	9	1.087404	
2	11	8	0.794274	
2	11	7	0.805302	
2	10	6	1.095260	
2	10	5	1.176414	
2	9	4	3.856823	
2	8	3	4.459462	
2	7	3	4.240997	
2	6	2	4.066321	
2	5	2	3.128644	
2	4	2	1.432722	
2	4	1	2.056938	
1	4	6	-1.837446	
1	4	1	-11.141138	
