k	j	i	s	
10	100	6	0.026569	
10	99	6	1.954736	
10	98	5	1.903743	
10	97	5	1.280398	
10	96	4	2.941823	
10	95	4	2.565283	
10	94	3	3.083263	
10	93	3	1.659052	
10	92	2	1.712869	
10	91	2	1.452598	
10	90	1	2.558473	
9	90	9	0.610640	
9	89	9	1.957245	
9	88	8	0.979659	
9	88	7	1.265150	
9	87	6	9.593615	
9	86	5	6.127707	
9	85	5	10.215502	
9	84	4	12.530971	
9	83	3	19.244986	
9	82	2	23.593395	
9	81	2	6.922770	
9	80	1	14.368246	
8	80	7	5.415158	
8	79	7	2.077460	
8	78	6	8.811993	
8	77	6	4.981302	
8	76	5	3.858143	
8	75	5	2.693627	
8	74	4	5.567815	
8	73	4	5.288129	
8	72	3	2.280867	
8	71	3	3.090178	
8	70	2	2.314987	
8	69	2	2.140443	
8	68	1	3.300995	
7	68	9	-1.533561	
7	67	8	-2.461701	
7	66	7	2.956006	
7	65	7	-2.781241	
7	64	6	-3.805772	
7	63	6	-0.607172	
7	62	5	-7.237918	
7	61	5	-3.068385	
7	60	4	-0.263949	
7	59	4	-2.400873	
7	58	3	8.411599	
7	57	3	-8.246594	
7	56	2	5.951332	
7	55	2	-1.939301	
7	54	1	6.792737	
6	54	8	10.442377	
6	53	8	8.899098	
6	52	7	8.570322	
6	51	7	8.026587	
6	50	6	14.149485	
6	49	6	4.921393	
6	49	5	3.233976	
6	48	4	10.101172	
6	47	3	7.753716	
6	46	2	11.320149	
6	45	2	4.271794	
6	45	1	5.008743	
5	45	14	0.820457	
5	44	13	1.029334	
5	44	12	1.318777	
5	43	11	4.481444	
5	42	10	4.415096	
5	41	10	5.730119	
5	40	9	5.857508	
5	39	8	7.776266	
5	38	7	8.157640	
5	37	7	9.406988	
5	36	6	7.961834	
5	35	5	6.752427	
5	34	4	7.353378	
5	33	4	7.126790	
5	32	3	5.388886	
5	31	3	6.959824	
5	30	2	8.447307	
5	29	2	4.543478	
5	29	1	3.841592	
4	29	9	-0.630528	
4	28	8	-0.475209	
4	28	7	-2.289503	
4	27	6	-6.400706	
4	27	5	-5.104286	
4	26	4	7.930923	
4	25	3	17.164972	
4	24	2	6.992496	
4	23	2	-5.784800	
4	23	1	11.429500	
3	23	10	-3.643463	
3	22	9	10.753123	
3	21	9	7.059684	
3	21	8	-4.558506	
3	20	7	13.545354	
3	19	7	13.656376	
3	19	6	8.643554	
3	18	5	0.675389	
3	18	4	5.704821	
3	17	3	12.657340	
3	16	2	11.077402	
3	15	2	4.591012	
3	15	1	7.061361	
2	15	13	1.635872	
2	14	12	5.333319	
2	13	11	3.741944	
2	12	10	1.258949	
2	12	9	1.072184	
2	11	8	0.779332	
2	11	7	0.790873	
2	10	6	1.079492	
2	10	5	1.161413	
2	9	4	3.829916	
2	8	3	4.439619	
2	7	3	4.220209	
2	6	2	4.052688	
2	5	2	3.115397	
2	4	2	1.420750	
2	4	1	2.054230	
1	4	6	-1.862883	
1	4	1	-11.166861	
