k	j	i	s	
10	121	6	-0.313810	
10	121	5	-0.448124	
10	120	4	-0.306294	
10	120	3	-0.015086	
10	119	2	0.740286	
10	119	1	0.816574	
9	119	9	0.893772	
9	118	8	1.195849	
9	118	7	2.154895	
9	117	6	6.132256	
9	116	5	3.084856	
9	115	4	6.188280	
9	114	3	8.757043	
9	113	3	22.154497	
9	112	2	16.702253	
9	111	2	3.682783	
9	111	1	8.540743	
8	111	7	3.408357	
8	110	6	-5.403687	
8	109	6	7.788779	
8	108	5	13.041118	
8	107	4	7.370248	
8	106	3	6.886247	
8	105	3	5.649337	
8	104	2	4.816364	
8	103	2	6.506763	
8	102	1	2.950856	
7	102	9	3.623302	
7	101	9	5.627795	
7	100	8	5.083121	
7	99	8	3.740286	
7	98	7	3.990618	
7	97	7	7.949133	
7	96	6	9.634235	
7	95	6	4.856809	
7	94	5	-0.995070	
7	93	5	-1.895723	
7	92	4	-2.530389	
7	91	4	-4.426000	
7	90	3	0.378787	
7	89	3	-4.921364	
7	88	2	2.539418	
7	87	2	-0.517021	
7	86	1	9.351596	
6	86	8	6.219527	
6	85	8	1.972698	
6	84	7	9.495777	
6	83	7	2.543991	
6	82	6	9.870956	
6	81	6	11.345572	
6	80	5	8.579584	
6	79	4	12.570933	
6	78	3	9.561073	
6	77	3	11.353217	
6	76	2	11.209357	
6	75	2	4.045397	
6	75	1	4.701544	
5	75	14	0.869842	
5	74	13	0.963230	
5	74	12	1.232329	
5	73	11	1.667783	
5	73	10	1.641698	
5	72	9	4.250446	
5	71	8	5.130482	
5	70	7	6.061505	
5	69	7	6.912962	
5	68	6	8.297400	
5	67	6	8.344296	
5	66	5	10.174906	
5	65	5	8.960217	
5	64	4	9.942673	
5	63	4	5.731590	
5	62	3	6.420360	
5	61	3	4.646201	
5	60	2	6.391669	
5	59	2	4.516840	
5	58	1	6.155574	
4	58	9	-0.521344	
4	58	8	-2.787773	
4	57	7	-4.053768	
4	57	6	-1.826068	
4	56	5	-5.667056	
4	55	4	8.320636	
4	54	3	22.337439	
4	53	2	3.217983	
4	53	1	-0.478266	
3	53	10	-0.106590	
3	52	9	-3.941447	
3	52	8	-0.301631	
3	51	7	3.649403	
3	51	6	7.245317	
3	50	5	14.285076	
3	49	4	11.933364	
3	48	3	4.087036	
3	47	3	9.195810	
3	46	2	11.186980	
3	45	2	7.590247	
3	44	1	7.889941	
2	44	13	4.670961	
2	43	12	4.337868	
2	42	11	6.055277	
2	41	11	5.760762	
2	40	10	2.208259	
2	40	9	2.160101	
2	39	8	2.141693	
2	39	7	2.202697	
2	38	6	2.130325	
2	38	5	2.164346	
2	37	4	5.996406	
2	36	3	6.324223	
2	35	3	6.134531	
2	34	2	5.453847	
2	33	1	2.960370	
1	33	6	0.034024	
1	33	5	0.645276	
1	32	4	12.107429	
1	31	3	16.836956	
1	30	2	18.729151	
1	29	2	15.261523	
1	28	1	7.938245	
