	k	i	s
90	10	6	-0.848791
89	10	5	-0.682724
88	10	4	-1.399817
87	10	3	-1.287403
86	10	2	-1.467708
85	10	1	-1.0253940000000001
84	9	9	-0.20859
83	9	8	-0.334
82	9	7	-0.723854
81	9	6	-0.425177
80	9	5	1.8642009999999998
79	9	4	2.530521
78	9	3	2.9847040000000002
77	9	2	1.548068
76	9	1	1.320555
75	8	7	0.09981699999999999
74	8	6	0.251135
73	8	5	3.924671
72	8	4	6.281252
71	8	3	6.827522999999999
70	8	2	3.546691
69	8	1	-1.5374299999999999
68	7	9	-2.656131
67	7	8	-7.630218999999999
66	7	7	-5.946207
65	7	6	0.463622
64	7	5	-0.101881
63	7	4	-4.163855
62	7	3	-2.6586310000000006
61	7	2	-5.438841
60	7	1	-3.914718
59	6	8	-0.61549
58	6	7	-2.225664
57	6	6	-0.49656300000000003
56	6	5	-0.481753
55	6	4	-0.64123
54	6	3	-0.818859
53	6	2	1.874293
52	6	1	0.826092
51	5	14	1.2852459999999999
50	5	13	1.205972
49	5	12	3.6743910000000004
48	5	11	1.559819
47	5	10	6.873501
46	5	9	8.611808
45	5	8	10.877258999999999
44	5	7	11.941952
43	5	6	10.299384
42	5	5	2.465424
41	5	4	9.043927
40	5	3	7.705754
39	5	2	1.914611
38	5	1	1.4179760000000001
37	4	9	-0.37593200000000004
36	4	8	3.928664
35	4	7	9.785065
34	4	6	6.154944
33	4	5	1.821114
32	4	4	4.9013
31	4	3	-17.507267000000002
30	4	2	-18.805032999999998
29	4	1	-39.335564
28	3	10	1.700463
27	3	9	10.464488000000001
26	3	8	-3.858169
25	3	7	20.784359
24	3	6	0.033331000000000444
23	3	5	10.208490000000001
22	3	4	6.9233210000000005
21	3	3	4.5586660000000006
20	3	2	7.844469999999999
19	3	1	5.5079199999999995
18	2	13	-3.126904
17	2	12	-3.5857379999999996
16	2	11	-5.441035
15	2	10	-6.874583
14	2	9	-6.4840290000000005
13	2	8	-6.370508999999999
12	2	7	-6.756792999999999
11	2	6	-6.627466
10	2	5	-5.67822
9	2	4	-5.144314
8	2	3	-4.914658
7	2	2	-4.188356
6	2	1	-9.894078
5	1	6	-7.046619000000001
4	1	5	-4.1799610000000005
3	1	4	-8.167342
2	1	3	-5.455068
1	1	2	-3.679247
0	1	1	-18.771441
